PDB	domainStart	domainStop	resi_min	resi_max	resi_span	resi_count	domainFrac	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	note	evidence
1GRI	60	152	1	217	217	211	0.44075829383886256	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5DF6	6	102	4	382	379	223	0.4349775784753363	Q06124	reviewed	PTN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593	Q06124;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
5VKO	1257	1354	1250	1499	250	230	0.4260869565217391	P23615	reviewed	SPT6_YEAST	Transcription elongation factor SPT6 (Chromatin elongation factor SPT6)	SPT6 CRE2 SSN20 YGR116W G6169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1451	P23615;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
7NXE	668	756	479	770	292	225	0.39555555555555555	P19174	reviewed	PLCG1_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)	PLCG1 PLC1	Homo sapiens (Human)	1290	P19174;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
4FBN	668	756	547	789	243	232	0.38362068965517243	P19174	reviewed	PLCG1_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)	PLCG1 PLC1	Homo sapiens (Human)	1290	P19174;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
4EY0	668	756	547	789	243	234	0.3803418803418803	P19174	reviewed	PLCG1_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)	PLCG1 PLC1	Homo sapiens (Human)	1290	P19174;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
5ZUT	65	160	1	255	255	255	0.3764705882352941	Q5T4P3	unreviewed	Q5T4P3_HUMAN	Phosphatidylinositol 3-kinase regulatory subunit gamma	PIK3R3	Homo sapiens (Human)	206		SH2	ECO:0000259|PROSITE:PS50001
1A81	15	107	9	262	254	254	0.3661417322834646	P43405	reviewed	KSYK_HUMAN	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	635	P43405;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
7SA7	15	107	9	262	254	254	0.3661417322834646	P43405	reviewed	KSYK_HUMAN	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	635	P43405;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
1A81	168	259	9	262	254	254	0.36220472440944884	P43405	reviewed	KSYK_HUMAN	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	635	P43405;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
7SA7	168	259	9	262	254	254	0.36220472440944884	P43405	reviewed	KSYK_HUMAN	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	635	P43405;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
5YMW	148	245	0	270	271	271	0.36162361623616235	P00526	reviewed	SRC_RSVP	Tyrosine-protein kinase transforming protein Src (EC 2.7.10.2) (pp60v-src) (p60-Src) (v-Src)	V-SRC	Rous sarcoma virus (strain Prague C) (RSV-PrC)	526		SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4XZ0	10	102	0	257	258	258	0.36046511627906974	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
1M61	10	102	1	903	903	259	0.3590733590733591	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
6AMV	127	217	1	255	255	255	0.3568627450980392	P00519	reviewed	ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130	P00519;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
6AMW	127	217	1	255	255	255	0.3568627450980392	P00519	reviewed	ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130	P00519;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4XZ0	163	254	0	257	258	258	0.35658914728682173	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
1M61	163	254	1	903	903	259	0.3552123552123552	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
3ZMP	151	248	1	282	282	278	0.35251798561151076	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3GQI	550	657	464	770	307	307	0.3517915309446254	P10686	reviewed	PLCG1_RAT	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-gamma-1) (PLC-gamma-1)	Plcg1	Rattus norvegicus (Rat)	1290	P10686;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
2IZV	286	381	1	429	429	275	0.3490909090909091	Q8WXH5	reviewed	SOCS4_HUMAN	Suppressor of cytokine signaling 4 (SOCS-4) (Suppressor of cytokine signaling 7) (SOCS-7)	SOCS4 SOCS7	Homo sapiens (Human)	440	Q8WXH5;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2EYZ	13	118	1	304	304	304	0.34868421052631576	P46108	reviewed	CRK_HUMAN	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	CRK	Homo sapiens (Human)	304	P46108;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4XZ1	10	102	3	319	317	269	0.34572490706319703	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
4XZ1	163	254	3	319	317	269	0.3420074349442379	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
3VRO	151	248	13	421	409	288	0.3402777777777778	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
6XAR	93	190	48	352	305	305	0.32131147540983607	Q8R4L0	reviewed	SLAP2_MOUSE	Src-like-adapter 2 (Src-like adapter protein 2) (SLAP-2)	Sla2	Mus musculus (Mouse)	259	Q8R4L0;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3BRH	127	224	1	397	397	307	0.31921824104234525	P06239	reviewed	LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	LCK	Homo sapiens (Human)	509	P06239;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3BUW	168	259	47	351	305	305	0.3016393442622951	P43405	reviewed	KSYK_HUMAN	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	635	P43405;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
2LQW	14	102	1	303	303	302	0.2947019867549669	P46109	reviewed	CRKL_HUMAN	Crk-like protein	CRKL	Homo sapiens (Human)	303	P46109;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5EG3	668	756	466	774	309	302	0.2947019867549669	P10686	reviewed	PLCG1_RAT	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-gamma-1) (PLC-gamma-1)	Plcg1	Rattus norvegicus (Rat)	1290	P10686;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
2CBL	163	254	4	351	348	313	0.2939297124600639	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
2LQN	14	102	1	303	303	303	0.29372937293729373	P46109	reviewed	CRKL_HUMAN	Crk-like protein	CRKL	Homo sapiens (Human)	303	P46109;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3GQI	668	756	464	770	307	307	0.2899022801302932	P10686	reviewed	PLCG1_RAT	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-gamma-1) (PLC-gamma-1)	Plcg1	Rattus norvegicus (Rat)	1290	P10686;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
4JGH	48	156	1	387	387	387	0.28165374677002586	O14508	reviewed	SOCS2_HUMAN	Suppressor of cytokine signaling 2 (SOCS-2) (Cytokine-inducible SH2 protein 2) (CIS-2) (STAT-induced STAT inhibitor 2) (SSI-2)	SOCS2 CIS2 SSI2 STATI2	Homo sapiens (Human)	198	O14508;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
6HTF	281	377	9	379	371	362	0.26795580110497236	Q06187	reviewed	BTK_HUMAN	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)	659	Q06187;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
6EHJ	151	248	115	496	382	380	0.2578947368421053	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
6JMF	460	549	450	821	372	372	0.24193548387096775	P07332	reviewed	FES_HUMAN	Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)	FES FPS	Homo sapiens (Human)	822	P07332;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3BKB	460	549	449	821	373	373	0.24128686327077747	P07332	reviewed	FES_HUMAN	Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)	FES FPS	Homo sapiens (Human)	822	P07332;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2Y1N	163	254	4	435	432	388	0.23711340206185566	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
4Y5W	517	632	1	651	651	503	0.23061630218687873	P42226	reviewed	STAT6_HUMAN	Signal transducer and activator of transcription 6 (IL-4 Stat)	STAT6	Homo sapiens (Human)	847	P42226;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2PTK	148	245	83	528	446	425	0.23058823529411765	P00523	reviewed	SRC_CHICK	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC	Gallus gallus (Chicken)	533	P00523;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5D39	517	632	1	651	651	511	0.22700587084148727	P42226	reviewed	STAT6_HUMAN	Signal transducer and activator of transcription 6 (IL-4 Stat)	STAT6	Homo sapiens (Human)	847	P42226;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3VS7	144	241	85	531	447	432	0.22685185185185186	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2C0I	144	241	59	505	447	433	0.22632794457274827	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2C0O	144	241	59	505	447	433	0.22632794457274827	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3VS0	144	241	85	531	447	433	0.22632794457274827	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3VS1	144	241	85	531	447	433	0.22632794457274827	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3VS2	144	241	85	531	447	433	0.22632794457274827	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1UUR	583	686	242	707	466	460	0.22608695652173913	O00910	reviewed	STATA_DICDI	Signal transducer and activator of transcription A (Dd-STATa) (STAT5 homolog A)	dstA stat5 statA DDB_G0281381	Dictyostelium discoideum (Slime mold)	707	O00910;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3VRY	144	241	85	531	447	434	0.22580645161290322	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3VS6	144	241	85	531	447	434	0.22580645161290322	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3VS4	144	241	85	531	447	435	0.22528735632183908	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3VS3	144	241	85	531	447	436	0.22477064220183487	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1AD5	144	241	82	531	450	437	0.2242562929061785	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1FMK	151	248	82	533	452	437	0.2242562929061785	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2HCK	144	241	82	531	450	437	0.2242562929061785	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1UUS	583	686	239	707	469	464	0.22413793103448276	O00910	reviewed	STATA_DICDI	Signal transducer and activator of transcription A (Dd-STATa) (STAT5 homolog A)	dstA stat5 statA DDB_G0281381	Dictyostelium discoideum (Slime mold)	707	O00910;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2H8H	151	248	85	529	445	444	0.22072072072072071	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5H09	144	241	85	531	447	446	0.21973094170403587	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5H0B	144	241	85	531	447	446	0.21973094170403587	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5H0E	144	241	85	531	447	446	0.21973094170403587	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5H0G	144	241	85	531	447	446	0.21973094170403587	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5H0H	144	241	85	531	447	446	0.21973094170403587	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4K11	151	248	84	531	448	447	0.21923937360178972	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
6F3F	150	247	81	529	449	448	0.21875	P05480	reviewed	SRC_MOUSE	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	Src	Mus musculus (Mouse)	535	P05480;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1KSW	151	248	84	533	450	449	0.2182628062360802	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1QCF	144	241	80	531	452	449	0.2182628062360802	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526	P08631;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2SRC	151	248	84	533	450	449	0.2182628062360802	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3ZNI	10	102	0	427	428	427	0.21779859484777517	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
1Y57	151	248	82	533	452	452	0.2168141592920354	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3CXL	49	135	14	459	446	402	0.21641791044776118	P15882	reviewed	CHIN_HUMAN	N-chimaerin (A-chimaerin) (Alpha-chimerin) (N-chimerin) (NC) (Rho GTPase-activating protein 2)	CHN1 ARHGAP2 CHN	Homo sapiens (Human)	459	P15882;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3ZNI	163	254	0	427	428	427	0.2154566744730679	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
4A4B	10	102	2	435	434	433	0.21478060046189376	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
4A4C	10	102	2	435	434	433	0.21478060046189376	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
5O76	10	102	-1	434	436	435	0.21379310344827587	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
4A4B	163	254	2	435	434	433	0.21247113163972287	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
4A4C	163	254	2	435	434	433	0.21247113163972287	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
5MO4	127	217	83	531	449	429	0.21212121212121213	P00519	reviewed	ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130	P00519;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
5O76	163	254	-1	434	436	435	0.21149425287356322	P43403	reviewed	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619	P43403;	SH2 2	ECO:0000255|PROSITE-ProRule:PRU00191
